lga,elevation_above_sea_level,Australian_Statistical_Geography_2016_ID,lgaLabel
http://www.wikidata.org/entity/Q14935639,9,SSC60448,Newstead
http://www.wikidata.org/entity/Q16890717,9,SSC30743,Cowley Beach
http://www.wikidata.org/entity/Q16900657,9,SSC32682,Stapylton
http://www.wikidata.org/entity/Q21881419,9,SSC51679,Youngs Siding
http://www.wikidata.org/entity/Q21892576,9,SSC50367,Cuthbert
http://www.wikidata.org/entity/Q21896183,9,SSC50832,Leeman
http://www.wikidata.org/entity/Q21897145,9,SSC50246,Cape Arid
http://www.wikidata.org/entity/Q21900216,9,SSC32745,Takura
http://www.wikidata.org/entity/Q21919174,9,SSC10402,Blakebrook
http://www.wikidata.org/entity/Q205720,9,SSC20078,Aspendale
http://www.wikidata.org/entity/Q443946,9,SSC20034,Altona
http://www.wikidata.org/entity/Q443960,9,SSC20035,Altona Meadows
http://www.wikidata.org/entity/Q540478,9,SSC20045,Anglesea
http://www.wikidata.org/entity/Q545586,9,SSC10330,Beverley Park
http://www.wikidata.org/entity/Q980064,9,SSC30337,Boreen Point
http://www.wikidata.org/entity/Q992784,9,SSC50402,Denham
http://www.wikidata.org/entity/Q1334377,9,SSC20861,Elwood
http://www.wikidata.org/entity/Q1368695,9,SSC20882,Essendon West
http://www.wikidata.org/entity/Q1964621,9,SSC31778,Marcus Beach
http://www.wikidata.org/entity/Q2021276,9,SSC12431,Maclean
http://www.wikidata.org/entity/Q2082300,9,SSC40316,Cowell
http://www.wikidata.org/entity/Q2082300,9,UCL421008,Cowell
http://www.wikidata.org/entity/Q2104028,9,SSC22186,Rosebud
http://www.wikidata.org/entity/Q2228986,9,SSC51319,Scarborough
http://www.wikidata.org/entity/Q2300970,9,SSC60022,Austins Ferry
http://www.wikidata.org/entity/Q2496620,9,SSC30348,Boyne Island
http://www.wikidata.org/entity/Q2892791,9,SSC50084,Beachlands
http://www.wikidata.org/entity/Q3127741,9,SSC11858,Harrington
http://www.wikidata.org/entity/Q3482426,9,SSC13540,Shoalhaven Heads
http://www.wikidata.org/entity/Q3655421,9,SSC50245,Cannington
http://www.wikidata.org/entity/Q3717828,9,SSC50471,Eaton
http://www.wikidata.org/entity/Q3965520,9,SSC22299,South Melbourne
http://www.wikidata.org/entity/Q4347194,9,SSC13132,Palm Beach
http://www.wikidata.org/entity/Q4712262,9,SSC40007,Alberton
http://www.wikidata.org/entity/Q4722488,9,SSC50010,Alfred Cove
http://www.wikidata.org/entity/Q4884300,9,SSC30226,Belmont
http://www.wikidata.org/entity/Q5090027,9,SSC20534,Chelsea
http://www.wikidata.org/entity/Q5090176,9,SSC40247,Cheltenham
http://www.wikidata.org/entity/Q5161112,9,SSC11010,Coniston
http://www.wikidata.org/entity/Q5430967,9,SSC11484,Fairy Meadow
http://www.wikidata.org/entity/Q5623895,9,SSC11825,Gwynneville
http://www.wikidata.org/entity/Q5767625,9,SSC11916,Hinton
http://www.wikidata.org/entity/Q5905962,9,SSC31376,Horseshoe Bay
